line: 26	id: 12652
line: 459	id: 13648
line: 476	id: 10698
line: 499	id: 11186
line: 633	id: 10634
line: 730	id: 10470
line: 732	id: 7403
line: 787	id: 3525
line: 1599	id: 4619
line: 1627	id: 12566
line: 1780	id: 10464
line: 1829	id: 4167
line: 1978	id: 10370
line: 1995	id: 586
line: 2111	id: 10036
line: 2293	id: 4680
line: 2446	id: 6499
line: 2527	id: 14678
line: 2968	id: 735
line: 3028	id: 4399
line: 3061	id: 11261
line: 3068	id: 3897
line: 3163	id: 10176
line: 3464	id: 12299
line: 3494	id: 4179
line: 3583	id: 1005
line: 3739	id: 2861
line: 3917	id: 11221
line: 3937	id: 10818
line: 4075	id: 12113
line: 4152	id: 10996
line: 4172	id: 10338
line: 4355	id: 13755
line: 4376	id: 15251
line: 4427	id: 15028
line: 4715	id: 6968
line: 4847	id: 11061
line: 5041	id: 3036
line: 5130	id: 15475
line: 5316	id: 6288
line: 5463	id: 1581
line: 5667	id: 538
line: 5718	id: 8678
line: 6110	id: 13017
line: 6226	id: 13714
line: 6284	id: 5821
line: 6360	id: 5853
line: 6671	id: 12262
line: 6739	id: 11590
line: 6994	id: 8547
line: 7035	id: 8133
line: 7081	id: 8413
line: 7170	id: 11856
line: 7434	id: 6724
line: 7544	id: 5799
line: 7568	id: 741
line: 7571	id: 3217
line: 7592	id: 4428
line: 7628	id: 14793
line: 7762	id: 1469
line: 7813	id: 15913
line: 7880	id: 10078
line: 8362	id: 1083
line: 8421	id: 12166
line: 8594	id: 8460
line: 8610	id: 6725
line: 8769	id: 1639
line: 8789	id: 13794
line: 8926	id: 3586
line: 9107	id: 748
line: 9647	id: 15000
line: 9715	id: 15742
line: 9767	id: 15700
line: 9954	id: 10616
line: 10002	id: 813
line: 10020	id: 13383
line: 10060	id: 4663
line: 10086	id: 14363
line: 10138	id: 12174
line: 10151	id: 1351
line: 10413	id: 11994
line: 10498	id: 1320
line: 10705	id: 12229
line: 10851	id: 10629
line: 11033	id: 6469
line: 11173	id: 9937
line: 11202	id: 15517
line: 11277	id: 2969
line: 11309	id: 11564
line: 11549	id: 14490
line: 11713	id: 5065
line: 12136	id: 11078
line: 12236	id: 11300
line: 12362	id: 10906
line: 12470	id: 4109
line: 12526	id: 8197
line: 12762	id: 5906
line: 12806	id: 14332
line: 12840	id: 9061
line: 13314	id: 6102
line: 13363	id: 13727
line: 13540	id: 767
line: 13614	id: 14852
line: 13649	id: 12581
line: 14054	id: 11214
line: 14102	id: 12213
line: 14215	id: 6465
line: 14297	id: 14119
line: 3390	id: 2498
line: 3769	id: 12815
line: 4539	id: 14451
line: 6053	id: 15163
line: 6065	id: 10685
line: 6398	id: 9933
line: 6780	id: 11030
line: 8620	id: 7387
line: 9401	id: 8360
line: 10541	id: 13604
line: 10953	id: 14730
line: 11311	id: 8539
line: 12085	id: 8348
line: 12753	id: 5348
line: 12847	id: 6063
line: 13625	id: 3625
line: 14016	id: 12900
line: 47	id: 2157
line: 2292	id: 4004
line: 3094	id: 1573
line: 3211	id: 4052
line: 3616	id: 10952
line: 169	id: 10215
line: 342	id: 11398
line: 682	id: 8515
line: 1225	id: 5688
line: 1881	id: 12292
line: 2244	id: 11011
line: 2343	id: 13044
line: 909	id: 11136
line: 2369	id: 14513
line: 942	id: 2612
line: 991	id: 12476
line: 880	id: 13266
line: 1056	id: 15104
line: 303	id: 14261
line: 119	id: 6726
line: 49	id: 10735
line: 264	id: 3935
line: 990	id: 10312
line: 417	id: 11966
